id,title,authors,year,venue,search_string,v1_decision,v1_reason
21,Behavior-Driven Development: A case study on its impacts on agile development teams,"Nascimento, Nicolas and Santos, Alan R. and Sales, Afonso and Chanin, Rafael",2020,Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
22,Ensuring the Consistency between User Requirements and Task Models: A Behavior-Based Automated Approach,"Rocha Silva, Thiago and Winckler, Marco and Tr\ae{}tteberg, Hallvard",2020,Proc. ACM Hum.-Comput. Interact.,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
23,Scenarios in the loop: integrated requirements analysis and automotive system validation,"Wiecher, Carsten and Japs, Sergej and Kaiser, Lydia and Greenyer, Joel and Dumitrescu, Roman and Wolff, Carsten",2020,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,String C,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
24,Behavior-Driven Development: An Expert Panel to evaluate benefits and challenges,"Nascimento, Nicolas and Santos, Alan R. and Sales, Afonso and Chanin, Rafael",2020,Proceedings of the XXXIV Brazilian Symposium on Software Engineering,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
25,Empirical Findings on BDD Story Parsing to Support Consistency Assurance between Requirements and Artifacts,"Silva, Thiago Rocha and Fitzgerald, Brian",2021,Proceedings of the 25th International Conference on Evaluation and Assessment in Software Engineering,String B,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
26,User and System Stories: An Agile Approach for Managing Requirements in AOSE,"Rodriguez, Sebastian and Thangarajah, John and Winikoff, Michael",2021,Proceedings of the 20th International Conference on Autonomous Agents and MultiAgent Systems,String B,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
27,Building blocks for IoT testing: a benchmark of IoT apps and a functional testing framework,"Cristea, Rare\c{s} and Feraru, Mihail and Paduraru, Ciprian",2023,Proceedings of the 4th International Workshop on Software Engineering Research and Practice for the IoT,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
28,Overlap between Automated Unit and Acceptance Testing  a Systematic Literature Review,"van Heugten Breurkes, Jack and Gilson, Fabian and Galster, Matthias",2022,Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
29,A Behaviour-Driven Approach for Testing Requirements via User and System Stories in Agent Systems,"Rodriguez, Sebastian and Thangarajah, John and Winikoff, Michael",2023,Proceedings of the 2023 International Conference on Autonomous Agents and Multiagent Systems,String B,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
30,"Building User Stories and Behavior Driven Development Scenarios with a Strict Set of Concepts: Ontology, Benefits and Primary Validation","Heng, Samedi and Tsilionis, Konstantinos and Wautelet, Yves",2023,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,String C,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
31,A Survey of Requirements Engineering and Software Testing Practices in Agile Teams,"Coutinho, Jarbele and Andrade, Wilkerson and Machado, Patricia",2022,Proceedings of the 7th Brazilian Symposium on Systematic and Automated Software Testing,String B,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
32,Generating Extended Resolution Proofs with a BDD-Based SAT Solver,"Bryant, Randal E. and Heule, Marijn J. H.",2023,ACM Trans. Comput. Logic,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
33,CACLE - Automated Mitigation for Misconfiguration Vulnerabilities in Cloud Systems,"Millward, Douglas J. and Reed, Martin J. and Olaniyi, Nkaepe",2023,Proceedings of the 2023 7th International Conference on Cloud and Big Data Computing,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
34,Automatic Large Language Model Evaluation via Peer Review,"Chu, Zhumin and Ai, Qingyao and Tu, Yiteng and Li, Haitao and Liu, Yiqun",2024,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,String C,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
35,LawLLM: Law Large Language Model for the US Legal System,"Shu, Dong and Zhao, Haoran and Liu, Xukun and Demeter, David and Du, Mengnan and Zhang, Yongfeng",2024,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
36,Large Language Model-based Test Case Generation for GP Agents,"Jorgensen, Steven and Nadizar, Giorgia and Pietropolli, Gloria and Manzoni, Luca and Medvet, Eric and O'Reilly, Una-May and Hemberg, Erik",2024,Proceedings of the Genetic and Evolutionary Computation Conference,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
37,Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,"Jahan, Munima and Hassan, Mohammad Mahdi and Golpayegani, Reza and Ranjbaran, Golshid and Roy, Chanchal and Roy, Banani and Schneider, Kevin",2024,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
38,Using GitHub Copilot for Test Generation in Python: An Empirical Study,"El Haji, Khalid and Brandt, Carolin and Zaidman, Andy",2024,Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
39,Domain Adaptation for Code Model-Based Unit Test Case Generation,"Shin, Jiho and Hashtroudi, Sepehr and Hemmati, Hadi and Wang, Song",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
40,How Effective Are They? Exploring Large Language Model Based Fuzz Driver Generation,"Zhang, Cen and Zheng, Yaowen and Bai, Mingqiang and Li, Yeting and Ma, Wei and Xie, Xiaofei and Li, Yuekang and Sun, Limin and Liu, Yang",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
41,LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,"Xue, Zhiyi and Li, Liangguo and Tian, Senyue and Chen, Xiaohong and Li, Pingping and Chen, Liangyu and Jiang, Tingting and Zhang, Min",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
42,ProphetFuzz: Fully Automated Prediction and Fuzzing of High-Risk Option Combinations with Only Documentation via Large Language Model,"Wang, Dawei and Zhou, Geng and Chen, Li and Li, Dan and Miao, Yukai",2024,Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
43,Evaluating and Improving ChatGPT for Unit Test Generation,"Yuan, Zhiqiang and Liu, Mingwei and Ding, Shiji and Wang, Kaixin and Chen, Yixuan and Peng, Xin and Lou, Yiling",2024,Proc. ACM Softw. Eng.,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
44,AI-Generated Test Scripts for Web E2E Testing with ChatGPT and Copilot: A Preliminary Study,"Leotta, Maurizio and Yousaf, Hafiz Zeeshan and Ricca, Filippo and Garcia, Boni",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
45,ChatUniTest: A Framework for LLM-Based Test Generation,"Chen, Yinghao and Hu, Zehao and Zhi, Chen and Han, Junxiao and Deng, Shuiguang and Yin, Jianwei",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
46,PipeLLM: Fast and Confidential Large Language Model Services with Speculative Pipelined Encryption,"Tan, Yifan and Tan, Cheng and Mi, Zeyu and Chen, Haibo",2025,"Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1",String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
47,LIReDroid: LLM-Enhanced Test Case Generation for Static Sensitive Behavior Replication,"Wang, Yin and Fan, Ming and Zhang, Xicheng and Shi, Jifei and Qiu, Zhaoyu and Wang, Haijun and Liu, Ting",2024,Proceedings of the 15th Asia-Pacific Symposium on Internetware,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
48,Kgent: Kernel Extensions Large Language Model Agent,"Zheng, Yusheng and Yang, Yiwei and Chen, Maolin and Quinn, Andrew",2024,Proceedings of the ACM SIGCOMM 2024 Workshop on EBPF and Kernel Extensions,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
49,Use of ChatGPT as an Assistant in the End-to-End Test Script Generation for Android Apps,"Garc\'{\i}a, Boni and Leotta, Maurizio and Ricca, Filippo and Whitehead, Jim",2024,"Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation",String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
50,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,"Bergsmann, Severin and Schmidt, Alexander and Fischer, Stefan and Ramler, Rudolf",2024,"Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation",String B,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
