id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
23,An Analysis of Behaviour-Driven Requirement Specification for Robotic Competitions,M. Nguyen; N. Hochgeschwender; S. Wrede,2023,2023 IEEE/ACM 5th International Workshop on Robotics Software Engineering (RoSE),String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
24,Towards Modelling Acceptance Tests as a Support for Software Measurement,A. Lapointe-Boisvert; S. Mosser; S. Trudel,2021,2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
25,Automatic Inductive Invariant Generation for Scalable Dataflow Circuit Verification,J. Xu; L. Josipović,2023,2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD),String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
26,Behavior-driven Development for Real-time Embedded Systems,A. S. Nezhad; J. J. Lukkien; R. H. Mak,2018,2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation (ETFA),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
27,An efficient SAT-based algorithm for finding short cycles in cryptographic algorithms,E. Dubrova; M. Teslenko,2018,2018 IEEE International Symposium on Hardware Oriented Security and Trust (HOST),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
28,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,J. Jagielski; C. Rojas; M. Abel,2025,2025 2nd International Generative AI and Computational Language Modelling Conference (GACLM),String A & String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
29,Behavior Driven Development: A Systematic Literature Review,M. S. Farooq; U. Omer; A. Ramzan; M. A. Rasheed; Z. Atal,2023,IEEE Access,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
30,Polynomial Formal Verification of Sequential Circuits,C. Dominik; R. Drechsler,2024,"2024 Design, Automation & Test in Europe Conference & Exhibition (DATE)",String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
31,VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration,S. Palaniappan; G. Kacheru,2026,2026 IEEE International Conference on Emerging Computing and Intelligent Technologies (ICoECIT),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
32,An Enhanced Algorithm for Variable Reordering in Binary Decision Diagrams,C. Varma,2018,"2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
33,Automating Physics-Based Reasoning for SysML Model Validation,C. Chambers; S. Mueller; P. Ganeriwala; C. Sen; S. Bhattacharyya,2025,2025 IEEE International systems Conference (SysCon),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
34,A Lane Segmentation and Traffic Object Detection Multi-task Neural Network for AR-HUD,F. Huizong; W. Xin; F. Mingchi; B. Chuanxia,2021,2021 China Automation Congress (CAC),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
35,Automated Behaviour-Driven Acceptance Testing of Robotic Systems,M. Nguyen; S. Wrede; N. Hochgeschwender,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
36,Improved BDD Binary Logic Algorithm: Hidden BDD Algorithm,Z. -X. Gao; Z. -L. Wang; Y. Ren; D. -Z. Yang; L. -L. Liu; Q. Feng; B. Sun,2019,"2019 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
37,Behavior Driven Development Approach in the Modern Quality Control Process,O. Bezsmertnyi; N. Golian; V. Golian; I. Afanasieva,2020,2020 IEEE International Conference on Problems of Infocommunications. Science and Technology (PIC S&T),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
38,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,S. S. Murugan; M. Balamurugan,2025,"2025 6th International Conference on Communication, Computing & Industry 6.0 (C2I6)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
39,The Behavior Driven Development Applied to the Software Quality Test:,M. G. Cavalcante; J. I. Sales,2019,2019 14th Iberian Conference on Information Systems and Technologies (CISTI),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
40,An Adaptive Metric for Node Substitution-Based BDD Minimization,A. U. Hassen; F. A. Khan,2021,2021 IEEE International Symposium on Circuits and Systems (ISCAS),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
41,Agentic BDD Testing of Dialog Systems: Stabilizing the Dialog Manager via Failure-Driven Evolution,O. Dukić; O. Ristić,2025,2025 33rd Telecommunications Forum (TELFOR),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
42,SPEcBCFuzz: Fuzzing LTL Solvers with Boundary Conditions,L. Carvalho; R. Degiovanni; M. Cordy; N. Aguirre; Y. L. Traon; M. Papadakis,2024,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
43,Assessing The Effectiveness Of Test-Driven Development and Behavior-Driven Development in an Industry Setting,A. S. Dookhun; L. Nagowah,2019,2019 International Conference on Computational Intelligence and Knowledge Economy (ICCIKE),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
44,Investigation of The Influence of Data Acquisition Conditions on the Quality of the CNN-Based Vision System,A. Arhipov; I. Fomin,2022,2022 International Russian Automation Conference (RusAutoCon),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
45,A BDD-Based Analysis Method for Probabilistic Competing Failures of Multi-State Sensor Array System,L. Chen; L. Zhang,2019,"2019 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
46,ISSAFE: Improving Semantic Segmentation in Accidents by Fusing Event-based Data,J. Zhang; K. Yang; R. Stiefelhagen,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
47,Enhancing the Student Learning Experience by Adopting TDD and BDD in Course Projects,F. G. Rocha; L. S. Souza; T. S. Silva; G. Rodríguez,2021,2021 IEEE Global Engineering Education Conference (EDUCON),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
48,Visual Test Framework: Enhancing Software Test Automation with Visual Artificial Intelligence and Behavioral Driven Development,R. K. C. Ragel; F. F. Balahadia,2023,"2023 IEEE 15th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
49,Scenario-Based Microservice Retrieval Using Word2Vec,S. -P. Ma; Y. Chuang; C. -W. Lan; H. -M. Chen; C. -Y. Huang; C. -Y. Li,2018,2018 IEEE 15th International Conference on e-Business Engineering (ICEBE),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
50,Assessing the Quality of Behavior-Driven Development Scenarios Using BERT,N. Alinezhadtilaki; C. Evans,2025,2025 IEEE 4th International Conference on Computing and Machine Intelligence (ICMI),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
51,"Locate, Execute, Expect Design Pattern",A. -M. Vadan; L. C. Miclea,2022,"2022 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
52,Learning Efficient Unsupervised Satellite Image-based Building Damage Detection,Y. Zhang; Z. Wang; Y. Luo; X. Yu; Z. Huang,2023,2023 IEEE International Conference on Data Mining (ICDM),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
53,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT",M. Galloy; M. Balfroid; B. Vanderose; X. Devroey,2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
54,Approach for Generating and Executing Acceptance Tests Based on Computer Vision and GPT-4,J. Quispe; H. Cordova; L. Wong,2026,2026 8th International Conference on Software Engineering and Computer Science (CSECS),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
55,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,L. I. Matveeva; V. Kunštár; K. Jelemenská; P. Čičák,2025,"2025 5th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
56,A fast BDD Minimization Framework for Approximate Computing,A. Wendler; O. Keszocze,2020,"2020 Design, Automation & Test in Europe Conference & Exhibition (DATE)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
57,"BDD-Based Error Metric Analysis, Computation and Optimization",O. Keszocze,2022,IEEE Access,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
58,Acceptance Tests over Microservices Architecture using Behaviour-Driven Development,H. R. Lima; K. C. Souza; L. V. de Paula; L. M. C. e Martins; W. F. Giozza; R. T. de Sousa,2021,2021 16th Iberian Conference on Information Systems and Technologies (CISTI),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
59,Polynomial Formal Verification of a Processor: A RISC-V Case Study,L. Weingarten; A. Mahzoon; M. Goli; R. Drechsler,2023,2023 24th International Symposium on Quality Electronic Design (ISQED),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
60,Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,R. Broer Bahaweres; E. Oktaviani; L. Kesuma Wardhani; I. Hermadi; A. Suroso; I. Permana Solihin; Y. Arkeman,2020,"2020 International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
61,Towards Code Generation from BDD Test Case Specifications: A Vision,L. Chemnitz; D. Reichenbach; H. Aldebes; M. Naveed; K. Narasimhan; M. Mezini,2023,2023 IEEE/ACM 2nd International Conference on AI Engineering – Software Engineering for AI (CAIN),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
62,Applicability of the ViMoTest Approach for Automated GUI Testing: A Field Study,M. Fuksa; S. Speth; S. Becker,2023,2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
63,Enhancing Acceptance Test-Driven Development with Model-Based Test Generation,R. Ramler; C. Klammer,2019,"2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
64,Segmenting against Dense Distribution and Occlusion in Road Scenarios,F. Zhou; B. Deng; S. Wang,2022,"2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
65,Applications of Cucumber on Automated Functional Simulation Testing,Y. Wang; L. Jia; H. Cao; Z. Jing; H. Huang,2021,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
66,Batch Microfabrication of Boron-Doped Diamond-Based Microsensor for Seconds Level Measurement of Dual Parameters of Chemical Oxygen Demand and Conductivity in Tap Water,Y. Han; J. Li; S. Lu; P. Yang; J. Zhang; Z. Yu; J. Yin; Q. Jin,2025,IEEE Sensors Journal,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
67,Reliability Analysis of a Computer-Based Interlocking System with a Double 2-out-of-2 Redundancy Structure using Algebraic Binary Decision Diagrams,W. Long; K. Wang; X. Wang,2022,"2022 IEEE 22nd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
68,RiverGame - a game testing tool using artificial intelligence,C. Paduraru; M. Paduraru; A. Stefanescu,2022,"2022 IEEE Conference on Software Testing, Verification and Validation (ICST)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
69,A Requirement-based Regression Test Selection Technique in Behavior-Driven Development,J. Xu; Q. Du; X. Li,2021,"2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)",String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
70,EDDY: A Multi-Core BDD Package With Dynamic Memory Management and Reduced Fragmentation,R. Krauss; M. Goli; R. Drechsler,2023,2023 28th Asia and South Pacific Design Automation Conference (ASP-DAC),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
71,Empirical Studies on M-X Algorithm Implementation in Tester Eligibility Classification for Crowdsourced Based User Acceptance Testing,G. S. Dhamang Aji; D. Sulistiyo Kusumo,2025,2025 3rd International Conference on Software Engineering and Information Technology (ICoSEIT),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
72,Ontology-Based Approach to the Requirements Engineering in Agile Environment,M. S. Murtazina; T. V. Avdeenko,2018,2018 XIV International Scientific-Technical Conference on Actual Problems of Electronics Instrument Engineering (APEIE),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
73,"Behavior-Driven Development as an Approach to Improve Software Quality and Communication Across Remote Business Stakeholders, Developers and QA: two Case Studies",A. Scandaroli; R. Leite; A. H. Kiosia; S. A. Coelho,2019,2019 ACM/IEEE 14th International Conference on Global Software Engineering (ICGSE),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
74,A Behavior-Driven Development and Reinforcement Learning Approach for Videogame Automated Testing,V. Mastain; F. Petrillo,2024,2024 IEEE/ACM 8th International Workshop on Games and Software Engineering (GAS),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
75,A Separable BDD-based Analytical Method for Drone Mission Reliability Analysis,J. Ren; L. Xing,2026,2026 Annual Reliability and Maintainability Symposium (RAMS),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
76,Formal Analysis of Integer Multipliers by building Binary Decision Diagram of Adder Trees,J. Kumar; A. Srivastava; M. Fujita,2022,2022 23rd International Symposium on Quality Electronic Design (ISQED),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
77,Special Session Paper: Application of Functional Verification Techniques in Hardware Trust,M. R. Heidari Iman; R. Drechsler; C. K. Jha; A. Azarpeyvand; T. Ghasempouri; S. Imtiaz; J. Raik; S. Germiniani; D. Nicoletti; G. Pravadelli; G. Di Natale,2025,2025 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
78,D2BGAN: A Dark to Bright Image Conversion Model for Quality Enhancement and Analysis Tasks Without Paired Supervision,J. Bhattacharya; S. Modi; L. Gregorat; G. Ramponi,2022,IEEE Access,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
79,Codeless and Scalable Solution For Microservice Test Automation,A. Chatterjee,2025,2025 5th International Conference on Information Communication and Software Engineering (ICICSE),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
80,Low-Light Image Enhancement Using QRCP Decomposition in HSV Space,M. Ye; C. Hu; B. Jiao; W. Liu; G. Zhang; T. Ye,2023,2023 8th International Conference on Signal and Image Processing (ICSIP),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
81,Review on Early Prediction of Body Dysmorphic Disorder Using Machine Learning,H. Saini; S. Kumar Prasad,2023,2023 Second International Conference On Smart Technologies For Smart Nation (SmartTechCon),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
82,AI-Enabled Augmented Reality in the Medical Industry: Revolutionize User Experience,V. S. Vadivel; P. Jampanaun; M. V. Sasan; H. H. Aung; C. K. Ho; C. L. Kok,2024,TENCON 2024 - 2024 IEEE Region 10 Conference (TENCON),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
83,API Test Case Generation by Extracting HTTP Requests During Front-End Testing,Y. -J. Guo; S. -P. Ma; H. -J. Peng; Y. -S. Su,2024,2024 IEEE International Conference on e-Business Engineering (ICEBE),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
84,Correct and Verify—CAV: Exploiting Binary Decision Diagrams to Enable Formal Verification of Approximate Adders With Correct Carry Bits,C. K. Jha; K. Qayyum; M. Hassan; R. Drechsler,2025,IEEE Transactions on Circuits and Systems I: Regular Papers,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
85,System Architecture Modelling of Sugarcane Agroindustry Machinery Anomaly Detection Through Machine Learning,T. T. Baladraf; T. Djatna; A. F. Hidayat; A. Fatikhudin,2025,2025 International Conference on Data Science and Its Applications (ICoDSA),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
86,Smart Contract-Based Decentralized Data Sharing and Content Delivery for Intelligent Connected Vehicles in Edge Computing,C. Li; Y. Zhang; J. Wu; Y. Luo; S. Yu,2024,IEEE Transactions on Intelligent Transportation Systems,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
87,The effect of Test-Driven Development and Behavior-Driven Development on Project Success Factors: A Systematic Literature Review Based Study,H. M. Abushama; H. A. Alassam; F. A. Elhaj,2021,"2020 International Conference on Computer, Control, Electrical, and Electronics Engineering (ICCCEEE)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
88,A Segmentation-Driven Editing Method for Bolt Defect Augmentation and Detection,Y. Xiao; K. Zhang; J. Wang; X. Sheng; Y. Guo; M. Chen; Z. Ren; Z. Zheng; Z. Zhao,2026,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
89,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,S. Karpurapu; S. Myneni; U. Nettur; L. S. Gajja; D. Burke; T. Stiehm; J. Payne,2024,IEEE Access,String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
90,An approach to apply Automated Acceptance Testing for Industrial Robotic Systems,M. G. D. Santos; F. Petrillo; S. Hallé; Y. -G. Guéhéneuc,2022,2022 Sixth IEEE International Conference on Robotic Computing (IRC),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
91,An open-source framework for cross-platform testing in agile projects,I. Yanjari; B. Marín; G. Giachetti,2022,2022 41st International Conference of the Chilean Computer Science Society (SCCC),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
92,Detection of False Data Injection Attacks in Smart Grids Under Power Fluctuation Uncertainty Based on Deep Learning,D. Hu; Y. Dong; J. Wang; D. Shi,2023,2023 International Conference on Power System Technology (PowerCon),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
93,Adaptive Local Clustering Over Attributed Graphs,H. Zheng; R. Yang; J. Xu,2025,2025 IEEE 41st International Conference on Data Engineering (ICDE),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
94,Developing contents for t-learning — MADCE-TVD,A. X. R. Gamboa; J. J. Builes; D. E. S. Duran,2018,2018 13th Iberian Conference on Information Systems and Technologies (CISTI),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
95,Architecture of Automated User Interface based Tests with Protocol-Oriented Programming paradigm,J. L. Basiszta; A. Kovari; J. Katona,2022,2022 IEEE 5th International Conference and Workshop Óbuda on Electrical and Power Engineering (CANDO-EPE),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
96,MoFQA: An Approach for Automatic TDD Test Case Generation from MDD Models,L. Riquelme; M. González; N. Aquino; L. Cernuzzi,2018,2018 XLIV Latin American Computer Conference (CLEI),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
97,A Cloud–Edge Collaborative Architecture for Multimodal LLM-Based Advanced Driver Assistance Systems in IoT Networks,Y. Hu; D. Ye; J. Kang; M. Wu; R. Yu,2025,IEEE Internet of Things Journal,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
