ID;Prompt;Response;;
User Story 10: Teacher Registration Request;"User Story 10: Teacher Registration Request
User Story: As an administrator,
I want to check teacher registration requests,
So that I can validate permissions and register new reviewers in the system.";"Scenario: Validate teacher registration request
  Given an administrator is logged into the system
  And there are pending teacher registration requests
  When the administrator reviews a teacher registration request
  Then the system should display the teacher's details
  And the administrator should be able to approve or reject the request";;
User Story 11: Teacher Registration Approval;"User Story 11: Teacher Registration Approval
User Story: As an administrator,
I want to approve registration requests,
so that teachers can start reviewing student activity.";"Scenario: Approve teacher registration request
  Given an administrator is logged into the system
  And there is a pending teacher registration request
  When the administrator approves the registration request
  Then the teacher should be notified of the approval
  And the teacher should be able to access the system to review student activity";;
User Story 12: Editing a User;"User Story 12: Editing a User
User Story: As an administrator,
I want to edit a user's details,
so that I can correct or update registration information.";"Scenario: Administrator edits a user's details
  Given an administrator is logged into the system
  And a user exists with incorrect registration information
  When the administrator updates the user's details
  Then the user's information should be updated in the system
  And the updated information should be displayed correctly";;
User Story 13: User Deletion;"User Story 13: User Deletion
User Story: As an administrator,
I want to delete users from the system,
so that I can remove records of users who are no longer part of the staff or student body.";"Scenario: Administrator deletes a user from the system
  Given an administrator is logged into the system
  And a user exists in the system
  When the administrator deletes the user
  Then the user should be removed from the system
  And the user should no longer have access to the system";;
User Story 14: Create User;"User Story 14: Create User
User Story: As an administrator,
I want to create new users,
so that I can manually add teachers or students to the system as needed.";"Scenario: Administrator creates a new user
  Given an administrator is logged into the system
  When the administrator creates a new user
  Then the new user should be added to the system
  And the new user should be able to log in";;
User Story 15: Activity Approval Notification;"User Story 15: Activity Approval Notification
User Story: As a student,
I want to receive activity approval notifications,
So that I know when an activity has been successfully approved.";"Scenario: Receive activity approval notification
  Given a student has submitted an activity for approval
  When the activity is approved by the administrator
  Then the student should receive a notification of the approval";;
User Story 16: Assignment Rejection Notification;"User Story 16: Assignment Rejection Notification
User Story: As a student,
I want to be notified when an assignment is rejected,
so that I can quickly review and correct my submission.";"Scenario: Notify student when assignment is rejected
  Given a student has submitted an assignment
  And the assignment is reviewed by the instructor
  When the instructor rejects the assignment
  Then the student should receive a notification about the rejection
  And the notification should include the reason for rejection";;
User Story 17: Filtering Pending Assignments;"User Story 17: Filtering Pending Assignments
User Story: As a teacher,
I want to filter assignments by submission date,
so that I can prioritize the oldest or most urgent assignments.";"Scenario: Filter assignments by submission date
  Given a teacher is logged into the assignment dashboard
  And there are multiple assignments with different submission dates
  When the teacher filters assignments by submission date
  Then the assignments should be sorted by the selected submission date
  And the oldest or most urgent assignments should be prioritized";;
User Story 18: Complementary Hours Report;"User Story 18: Complementary Hours Report
User Story: As a student,
I want to generate a report of my complementary hours,
So that I can track my progress and present it when necessary.";"Scenario: Generate complementary hours report
  Given a student is logged into the system
  And the student has completed some complementary hours
  When the student requests to generate a complementary hours report
  Then the system should generate a report of the student's complementary hours
  And the report should display the total hours completed";;
User Story 19: Admin Dashboard;"User Story 19: Admin Dashboard
User Story: As an administrator,
I want to access a dashboard,
so that I can quickly view registration requests and the number of active users in the system.";"Scenario: Admin views dashboard for registration requests and active users
  Given an administrator is logged into the system
  When the administrator navigates to the dashboard
  Then the administrator should see the registration requests
  And the administrator should see the number of active users in the system";;
