ID,Title,Authors,Year,v1_decision,v1_reason,v2_decision,v2_reason
18,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT","Manon Galloy, Martin Balfroid, Benoît Vanderose, Xavier Devroey",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Sử dụng SELF-INSTRUCT để sinh dataset kịch bản BDD tổng hợp. Có phân tích định lượng về chất lượng kịch bản.",EXCLUDE,EC-A: No PDFs found
19,Automatisering av Behavior-Driven Development med stora språkmodeller : En undersökning om generering av testfall för Fintech,"Tesfalidet, Noel",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Luận văn nghiên cứu sinh kịch bản Gherkin từ yêu cầu cho Fintech. Có số liệu độ chính xác cú pháp đạt 89-96%.",EXCLUDE,EC-A: No PDFs found
20,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,"Hassaniahari, Shabnam",2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Luận án tiến sĩ nghiên cứu trích xuất đặc tả hành vi Gherkin từ văn bản pháp luật. Có kết quả đạt Precision 89%.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF (Luận án) về việc tinh chỉnh GPT-4o để trích xuất Gherkin từ văn bản pháp luật với Precision 89% và Recall 87%."
21,From law to Gherkin: A human-centred quasi-experiment on the quality of LLM-generated behavioral specifications from food-safety regulations,"Shabnam Hassani, Mehrdad Sabetzadeh, Daniel Amyot",2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Thử nghiệm thực nghiệm xác nhận 95% kịch bản Gherkin do LLM sinh ra từ luật đạt yêu cầu của chuyên gia.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF (Tạp chí IST) về thử nghiệm 120 lượt đánh giá trên người, kết quả 95% kịch bản Gherkin đạt yêu cầu về độ liên quan."
22,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,"Jakub Jagielski, Consuelo Rojas, Markus Abel",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu khả năng của private GPT trong sinh mã test thông qua Gherkin. Có đánh giá hiệu quả định lượng của prompt.",EXCLUDE,EC-A: No PDFs found
23,Functional test generation from UI test scenarios using reinforcement learning for android applications,"Yavuz Koroglu, Alper Sen",2020,INCLUDE,"Đáp ứng IC-L đến IC-E: Sử dụng RL và Gherkin để sinh test GUI. Có số liệu thực nghiệm so sánh độ bao phủ với các công cụ Monkey/QBEa.",EXCLUDE,EC-A: No PDFs found
24,Baseline Evaluation of LLM-Facilitated UI Test-Case Generation from Gherkin Specifications,"Alexander Poth, Olsi Rrjolli, Huiyu Wang, Klaus Schmid",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Chuyển đổi Gherkin sang Selenium dùng LLM. Đo lường định lượng độ bao phủ code đạt ~16%.",EXCLUDE,EC-A: No PDFs found
25,Approach for Generating and Executing Acceptance Tests Based on Computer Vision and GPT-4,"Jonnel Quispe, Heber Cordova, Lenis Wong",2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Kết hợp GPT-4 và Computer Vision sinh test Gherkin và thực thi tự động. Có kết quả thực nghiệm định lượng.",EXCLUDE,EC-A: No PDFs found
26,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,"de Macedo, Sanderson Oliveira, da Costa, Ronaldo Martins",2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Sinh 53 kịch bản Gherkin để làm parity test khi chuyển đổi mã nguồn cũ với chỉ số tin cậy 97.1%.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về framework Reversa sinh 53 kịch bản Gherkin từ mã nguồn COBOL cũ với chỉ số tin cậy 97.1%."
27,Generating Test Scenarios from NL Requirements Using Retrieval-Augmented LLMs: An Industrial Study,"Chetan Arora, Tomas Herda, Verena Homm",2024,INCLUDE,"Đáp ứng IC-L đến IC-E: Hệ thống RAGTAG sinh kịch bản test từ yêu cầu tự nhiên. Kết quả đánh giá chuyên gia đạt điểm khả thi 4.92/5.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về hệ thống RAGTAG kết hợp RAG và LLM để sinh kịch bản test từ yêu cầu song ngữ, đạt điểm khả thi 4.92/5."
28,Large Language Model and Behaviour Tree Based Real-World Test Scenario Generation for Autonomous Vehicles,"Yuliang Li, Zhonglin Hou, Hong Liu",2024,INCLUDE,"Đáp ứng IC-L đến IC-E: Sinh kịch bản test cho xe tự hành dùng LLM và cây hành vi. Có kết quả thực nghiệm về độ bao phủ hành vi.",EXCLUDE,EC-A: No PDFs found
29,Learning from Risk: LLM-Guided Generation of Safety-Critical Scenarios with Prior Knowledge,"Yuhang Wang, Heye Huang, Zhenhua Xu, Kailai Sun, Guo, Baoshen, Jin-Hua Zhao",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Tự động hóa sinh kịch bản kiểm thử rủi ro cao cho xe tự hành. Có kết quả thực nghiệm tăng độ bao phủ các sự kiện hiếm gặp.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về phương pháp sinh kịch bản kiểm thử cho xe tự hành, tập trung vào các tình huống rủi ro cao (edge cases) với số liệu định lượng."
30,Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification,"Tuan, Thanh Luong, Sanyal, Abhijit",2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Sinh kịch bản kiểm thử tuân thủ quy định dựa trên ontology. Kết quả thực nghiệm đạt 48.3% độ bao phủ luật pháp.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về việc sử dụng ontology để sinh kịch bản kiểm thử adversarial cho AI agent, đạt 48.3% độ bao phủ quy định (Regulatory Coverage)."
31,LLM/VLM-Driven Integrated Testing Framework for Autonomous Driving Assistance Systems: From Requirements to Failure Attribution,"Hao Chen, Feiyang Liu, Bin Li, Zhiyun Li, Yunfei Zhang",2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Framework tạo kịch bản ADAS từ quy định tự nhiên dùng LLM/VLM với kết quả thực nghiệm về độ bao phủ 87.3%.",EXCLUDE,EC-A: No PDFs found
32,Risk2Scenario: LLM-Assisted Scenario Generation for Autonomous Driving Testing Based on Hierarchical Risk Analysis,"Pin Wang, Junyan Ma",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Framework Risk2Scenario sinh kịch bản test từ yếu tố rủi ro. Có kiểm chứng thực nghiệm định lượng trong môi trường CARLA.",EXCLUDE,EC-A: No PDFs found
33,Resilience Governance of Low-Altitude Logistics Networks: A GenAI-Driven Air-Ground Collaborative Risk-Avoidance Simulation and Policy Stress Testing,"Yuetan Zhang, Honghai Zhang, Chenfeng Zhang",2026,UNSURE,"Thông tin không đủ (EC-A): Không có abstract trong nguồn dữ liệu để xác nhận các tiêu chí thực nghiệm SE.",EXCLUDE,EC-A: No PDFs found
34,SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents,"Pan, Rangeet, Pavuluri, Raju, Huang, Ruikai, Krishna, Rahul, Stennett, Tyler, Orso, Alessandro, Sinha, Saurabh",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Công cụ SAINT sinh kịch bản kiểm thử tích hợp từ mã nguồn Java. Kết quả tăng độ bao phủ dòng lệnh thêm 50.5%.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về công cụ SAINT sử dụng tác nhân LLM để sinh kịch bản tích hợp, tăng độ bao phủ dòng lệnh lên thêm 50.5%."
35,AI-Driven Synthetic Test Data and Scenario Generation via GAN-LLM Integration: A Modular Approach for Web Application Testing,"Miraç Emektar, Fatih Mehmet Harmancı, Aysun Güran, Berat Karadavut, Günay Kirmizi, Berkay Öztürk, Ata Emir Karamuk, Mert Güven",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Tích hợp GAN và LLM sinh test data và kịch bản tương tác web. Tỉ lệ thành công automation thực nghiệm đạt 84.6%.",EXCLUDE,EC-A: No PDFs found
36,"Architecting Agentic AI for Modern Software Testing: Capabilities, Foundations, and a Proposed Scalable Multi-Agent System for Automated Test Generation",Twinkle Joshi,2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Đề xuất hệ thống multi-agent tự động hóa sinh kịch bản kiểm thử. Có kết quả thảo luận định lượng về tính mở rộng và bao phủ.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về kiến trúc multi-agent sử dụng RAG để sinh kịch bản kiểm thử từ tài liệu PDF/Excel, nhấn mạnh vào tính mở rộng."
